,Show Date,Show Location,Corp Name,General Effect - TOT,General Effect - TOT_rank,Visual - TOT,Visual - TOT_rank,Music - TOT,Music - TOT_rank,Sub Total,Sub Total_rank,Total,Total_rank
8165,"July 8, 2017","Minneapolis, MN",Bluecoats,32.4,0,23.75,0,23.95,0,80.100,2,80.100,2
8195,"July 7, 2017","Rockford, IL",Bluecoats,32.2,0,22.95,0,24.15,0,79.300,1,79.300,1
8228,"June 24, 2017","Massillon, OH",Bluecoats,29.3,0,21.8,0,21.6,0,72.700,1,72.700,1
8251,"June 22, 2017","Indianapolis, IN",Bluecoats,30.7,0,20.9,0,20.7,0,72.300,1,72.300,1
8257,"August 13, 2016","Indianapolis, IN",Bluecoats,39.425,1,29.2,3,29.025,1,97.650,1,97.650,1
8269,"August 12, 2016","Indianapolis, IN",Bluecoats,39.125,1,29.175,2,28.963,2,97.263,1,97.263,1
8294,"August 11, 2016","Indianapolis, IN",Bluecoats,39.35,1,28.975,3,28.9,1,97.225,1,97.225,1
8332,"August 8, 2016","Massillon, OH",Bluecoats,38.25,1,28.5,1,28.2,2,94.950,1,94.950,1
8355,"August 7, 2016","Buffalo, NY",Bluecoats,37.8,1,28.45,2,28.25,1,94.500,1,94.500,1
8374,"August 5, 2016","Allentown, PA",Bluecoats,38.3,1,28.025,2,28.3,1,94.625,1,94.625,1
8384,"August 4, 2016","Chester, PA",Bluecoats,37.5,1,27.95,1,28.0,1,93.450,1,93.450,1
8415,"August 1, 2016","Charleston, WV",Bluecoats,36.9,1,27.4,1,27.45,1,91.750,1,91.750,1
8428,"July 31, 2016","Winston-Salem, NC",Bluecoats,37.0,1,27.55,1,27.4,1,91.950,1,91.950,1
8433,"July 30, 2016","Atlanta, GA",Bluecoats,37.0,1,27.25,2,27.463,1,91.713,1,91.713,1
8463,"July 29, 2016","Nashville, TN",Bluecoats,36.5,1,27.2,2,27.1,1,90.800,1,90.800,1
8479,"July 27, 2016","Little Rock, AR",Bluecoats,35.8,1,27.1,1,26.7,1,89.600,1,89.600,1
8508,"July 25, 2016","Dallas, TX",Bluecoats,35.1,2,26.1,2,26.4,1,87.600,2,87.600,2
8514,"July 23, 2016","San Antonio, TX",Bluecoats,35.25,1,25.575,3,26.238,2,87.063,1,87.063,1
8535,"July 22, 2016","Houston, TX",Bluecoats,34.6,1,26.0,2,25.55,1,86.150,1,86.150,1
8545,"July 21, 2016","Denton, TX",Bluecoats,34.3,1,25.5,2,25.45,1,85.250,2,85.250,2
8577,"July 18, 2016","Warrensburg, MO",Bluecoats,33.8,2,25.5,1,25.35,1,84.650,2,84.650,2
8585,"July 17, 2016","DeKalb, IL",Bluecoats,33.6,2,25.25,2,25.25,1,84.100,2,84.100,2
8592,"July 16, 2016","Alexandria, KY",Bluecoats,33.2,1,24.95,2,25.15,1,83.300,1,83.300,1
8612,"July 15, 2016","Huntsville, AL",Bluecoats,33.2,1,24.9,1,24.8,1,82.900,1,82.900,1
8631,"July 12, 2016","Daytona Beach, FL",Bluecoats,33.1,1,24.25,1,24.6,1,81.950,1,81.950,1
8637,"July 11, 2016","Jupiter, FL",Bluecoats,32.4,1,24.15,1,24.7,1,81.250,1,81.250,1
8660,"July 9, 2016","Lakeland, FL",Bluecoats,31.4,1,23.7,1,23.9,1,79.000,1,79.000,1
8680,"July 8, 2016","Lexington, SC",Bluecoats,31.0,1,23.55,1,23.45,1,78.000,1,78.000,1
8687,"July 3, 2016","Lynn, MA",Bluecoats,31.4,1,21.55,1,23.2,1,76.150,1,76.150,1
8707,"July 2, 2016","Chestnut Hill, MA",Bluecoats,29.8,1,22.45,1,22.55,1,74.800,1,74.800,1
8727,"June 30, 2016","Allentown, PA",Bluecoats,30.5,1,22.1,1,22.15,1,74.750,1,74.750,1
8754,"June 23, 2016","Indianapolis, IN",Bluecoats,28.9,1,20.3,2,20.5,2,69.700,1,69.700,1
8762,"August 8, 2015","Indianapolis, IN",Bluecoats,38.8,3,29.0,2,29.125,4,96.925,3,96.925,3
8774,"August 7, 2015","Indianapolis, IN",Bluecoats,38.2,3,28.75,3,28.825,4,95.775,3,95.775,3
8800,"August 6, 2015","Indianapolis, IN",Bluecoats,38.3,3,28.7,3,28.425,4,95.425,4,95.425,4
8837,"August 3, 2015","Massillon, OH",Bluecoats,37.7,2,28.6,1,28.35,2,94.650,2,94.650,2
8860,"August 2, 2015","Buffalo, NY",Bluecoats,37.8,4,27.75,3,28.3,4,93.850,4,93.850,4
8867,"August 1, 2015","Allentown, PA",Bluecoats,37.6,1,27.6,3,27.925,3,93.125,3,93.125,3
8895,"July 30, 2015","Chester, PA",Bluecoats,37.5,2,27.55,4,28.0,3,93.050,4,93.050,4
8934,"July 27, 2015","Dublin, OH",Bluecoats,36.3,2,27.35,2,27.1,1,90.750,2,90.750,2
8943,"July 26, 2015","Winston-Salem, NC",Bluecoats,36.3,4,26.5,5,27.15,3,89.950,4,89.950,4
8950,"July 25, 2015","Atlanta, GA",Bluecoats,35.85,4,27.1,3,26.975,4,89.925,4,89.525,4
8977,"July 24, 2015","Murfreesboro, TN",Bluecoats,35.7,4,26.3,4,26.15,5,88.150,4,88.150,4
9001,"July 22, 2015","Hattiesburg, MS",Bluecoats,35.3,2,26.25,2,26.3,2,87.850,2,87.850,2
9018,"July 21, 2015","Ocean Springs, MS",Bluecoats,34.9,2,26.35,2,26.2,2,87.450,2,87.450,2
9033,"July 20, 2015","Lafayette, LA",Bluecoats,34.7,2,25.9,2,25.9,2,86.500,2,86.500,2
9043,"July 18, 2015","San Antonio, TX",Bluecoats,34.65,3,25.55,4,25.425,4,85.625,4,85.625,4
9064,"July 17, 2015","Houston, TX",Bluecoats,34.4,3,25.45,5,25.4,3,85.250,3,85.250,3
9082,"July 16, 2015","Denton, TX",Bluecoats,34.3,2,25.3,3,25.55,2,85.150,2,85.150,2
9122,"July 13, 2015","Warrensburg, MO",Bluecoats,33.2,3,25.25,3,25.0,3,83.450,3,83.450,3
9139,"July 11, 2015","Denver, CO",Bluecoats,33.7,1,24.95,1,24.85,1,83.500,1,83.500,1
9158,"July 7, 2015","Dubuque, IA",Bluecoats,32.0,1,24.2,1,24.15,1,80.350,1,80.350,1
9168,"July 5, 2015","Whitewater, WI",Bluecoats,31.9,1,23.55,1,24.0,2,79.450,1,79.450,1
9215,"June 20, 2015","Akron, OH",Bluecoats,29.6,2,21.65,1,22.0,1,73.250,1,73.250,1
9229,"June 17, 2015","Indianapolis, IN",Bluecoats,27.5,2,20.65,2,20.1,2,68.250,2,68.250,2
9235,"August 9, 2014","Indianapolis, IN",Bluecoats,39.1,2,29.05,3,29.025,2,97.175,2,97.175,2
9248,"August 8, 2014","Indianapolis, IN",Bluecoats,38.75,2,28.9,3,28.9,2,96.550,3,96.550,3
9273,"August 7, 2014","Indianapolis, IN",Bluecoats,38.1,3,28.75,3,28.95,2,95.800,3,95.800,3
9309,"August 4, 2014","Massillon, OH",Bluecoats,38.4,1,28.0,4,28.9,1,95.300,2,95.300,2
9334,"August 3, 2014","Buffalo, NY",Bluecoats,38.5,3,28.4,3,28.3,4,95.200,3,95.200,3
9340,"August 2, 2014","Allentown, PA",Bluecoats,38.2,1,28.15,2,28.55,1,94.900,2,94.900,2
9368,"July 31, 2014","Piscataway, NJ",Bluecoats,37.8,3,27.65,4,28.4,2,93.850,3,93.850,3
9374,"July 30, 2014","West Chester, PA",Bluecoats,37.6,2,28.25,2,28.2,2,94.050,2,94.050,2
9397,"July 28, 2014","Charleston, WV",Bluecoats,38.0,1,28.4,1,27.85,1,94.250,1,94.250,1
9420,"July 26, 2014","Atlanta, GA",Bluecoats,37.3,3,27.95,4,27.7,3,92.950,3,92.950,3
9454,"July 25, 2014","Nashville, TN",Bluecoats,36.5,2,27.5,3,27.5,2,91.500,3,91.500,3
9461,"July 23, 2014","Little Rock, AR",Bluecoats,35.8,2,27.3,2,27.45,2,90.550,2,90.550,2
9477,"July 22, 2014","Mustang, OK",Bluecoats,36.5,2,26.9,2,27.35,2,90.750,2,90.750,2
9492,"July 21, 2014","Dallas, TX",Bluecoats,36.2,3,27.4,2,27.3,2,90.900,2,90.900,2
9511,"July 19, 2014","San Antonio, TX",Bluecoats,35.9,3,27.05,3,26.9,3,89.850,3,89.850,3
9532,"July 18, 2014","Houston, TX",Bluecoats,35.9,2,26.85,2,26.65,2,89.400,2,89.400,2
9539,"July 17, 2014","Denton, TX",Bluecoats,35.6,1,26.15,3,26.1,2,87.850,2,87.850,2
9588,"July 14, 2014","Warrensburg, MO",Bluecoats,34.5,5,25.3,6,25.6,5,85.400,5,85.400,5
9598,"July 13, 2014","DeKalb, IL",Bluecoats,33.6,4,25.2,4,25.3,4,84.100,4,84.100,4
9604,"July 12, 2014","La Crosse, WI",Bluecoats,34.5,3,25.65,3,25.7,3,85.850,3,85.850,3
9633,"July 8, 2014","Ft. Wayne, IN",Bluecoats,33.9,2,25.6,1,25.65,2,85.150,2,85.150,2
9651,"July 6, 2014","Chester, PA",Bluecoats,33.6,2,25.25,2,25.2,3,84.050,3,84.050,3
9660,"July 5, 2014","Lynn, MA",Bluecoats,33.4,2,25.2,1,24.6,3,83.200,3,83.200,3
9709,"June 21, 2014","Akron, OH",Bluecoats,29.0,3,21.35,4,22.45,3,72.800,3,72.800,3
9724,"August 10, 2013","Indianapolis, IN",Bluecoats,36.95,6,27.85,6,28.55,5,93.350,5,93.350,5
9736,"August 9, 2013","Indianapolis, IN",Bluecoats,37.05,6,27.7,6,28.3,5,93.050,5,93.050,5
9761,"August 8, 2013","Indianapolis, IN",Bluecoats,37.0,5,27.7,6,28.2,5,92.900,5,92.900,5
9795,"August 6, 2013","Massillon, OH",Bluecoats,37.1,3,27.6,3,28.4,3,93.100,3,93.100,3
9813,"August 5, 2013","Buffalo, NY",Bluecoats,36.4,6,26.85,6,28.25,5,91.500,5,91.500,5
9828,"August 4, 2013","Allentown, PA",Bluecoats,36.1,6,26.65,7,28.1,4,90.850,6,90.850,6
9845,"August 2, 2013","Allentown, PA",Bluecoats,35.5,4,26.55,4,27.0,3,89.050,4,89.050,4
9870,"July 31, 2013","Warrenton, VA",Bluecoats,36.5,2,27.0,2,27.3,2,90.800,2,90.800,2
9884,"July 30, 2013","Charleston, WV",Bluecoats,34.7,2,26.65,2,26.95,1,88.300,2,88.300,2
9908,"July 28, 2013","Atlanta, GA",Bluecoats,35.6,6,26.0,6,26.6,5,88.200,6,88.200,6
9944,"July 27, 2013","Charlotte, NC",Bluecoats,34.9,6,25.6,6,26.2,5,86.700,6,86.700,6
9951,"July 26, 2013","Murfreesboro, TN",Bluecoats,35.0,6,25.5,6,26.6,5,87.100,6,87.100,6
9959,"July 24, 2013","Little Rock, AR",Bluecoats,34.9,1,25.75,1,26.3,1,86.950,1,86.950,1
9975,"July 23, 2013","Dallas, TX",Bluecoats,34.5,2,25.45,2,26.0,2,85.950,2,85.950,2
10006,"July 21, 2013","Round Rock, TX",Bluecoats,33.8,6,24.85,6,25.85,5,84.500,6,84.500,6
10013,"July 20, 2013","San Antonio, TX",Bluecoats,34.2,6,25.0,6,25.85,5,85.050,6,85.050,6
10031,"July 19, 2013","Houston, TX",Bluecoats,33.9,2,23.9,5,25.55,1,83.350,2,83.350,2
10091,"July 14, 2013","DeKalb, IL",Bluecoats,32.1,6,23.55,7,24.1,6,79.750,6,79.750,6
10098,"July 13, 2013","Minneapolis, MN",Bluecoats,32.45,6,24.5,6,24.35,5,81.300,6,81.300,6
10118,"July 12, 2013","La Crosse, WI",Bluecoats,31.6,1,23.7,1,24.8,1,80.100,1,80.100,1
10134,"July 11, 2013","Warrensburg, MO",Bluecoats,31.5,6,23.0,7,24.0,5,78.500,6,78.500,6
10156,"July 7, 2013","Chambersburg, PA",Bluecoats,31.4,3,23.1,3,24.3,2,78.800,3,78.800,3
10162,"July 6, 2013","Chester, PA",Bluecoats,31.9,2,22.95,3,23.45,2,78.300,3,78.300,3
10179,"July 5, 2013","Lynn, MA",Bluecoats,31.7,3,22.45,3,24.2,2,78.350,3,78.350,3
10221,"June 22, 2013","Akron, OH",Bluecoats,27.5,3,21.5,2,22.15,2,-,100,-,100
